Artist,Listeners,Daily Trend,Peak,PkListeners
Baby Bash,4347930,"-6,913",2055,"4,409,971"
Yellowcard,4346982,"-20,987",2165,"4,767,385"
Dj Chetas,4345530,"17,760",1874,"4,945,946"
Shruti Pathak,4345467,"-4,171",1767,"5,422,202"
ANOTR,4342004,"-3,211",2263,"4,565,636"
Meat Loaf,4340434,"-8,191",1842,"4,944,940"
La Sonora Dinamita,4338616,"-7,230",2300,"4,360,841"
NO1-NOAH,4335550,"-2,878",2187,"4,634,441"
lucaf.,4335550,"11,926",2113,"4,792,389"
Sebastian Ingrosso,4334551,"-7,391",2219,"4,442,806"
Puddle Of Mudd,4331871,"10,345",2195,"4,331,871"
Headie One,4327832,"-33,201",1561,"5,729,948"
Spandau Ballet,4325602,"7,154",2277,"4,328,825"
Rkomi,4322636,"-3,090",2290,"4,521,904"
Imogen Heap,4318817,"43,476",2475,"4,318,817"
Annalisa,4318633,"-4,929",2181,"4,702,214"
Travis Tritt,4318141,"8,262",2228,"4,596,505"
Legịo Urbana,4318080,"32,127",2371,"4,318,080"
Agust D,4315441,"-5,530",904,"8,823,983"
Seu Jorge,4312748,"20,880",2429,"4,312,748"
Drowning Pool,4309452,"5,409",2477,"4,309,452"
Onda Sabanera,4306896,-304,2198,"4,679,162"
Mura Masa,4305378,"76,251",1860,"4,790,556"
SG Lewis,4298481,"1,266",1798,"5,053,596"
Grupo Recluta,4297878,"19,347",1573,"5,750,882"
Chalino Sanchez,4296192,"5,641",2363,"4,331,248"
Styx,4295710,"-2,349",2388,"4,375,989"
Kris Kristofferson,4294989,"13,258",2488,"4,294,989"
Tierry,4293968,"27,789",2228,"4,293,968"
Ritviz,4292828,"1,199",2386,"4,344,270"
Merk & Kremont,4292348,"-8,004",2396,"4,412,388"
Parson James,4291689,"7,463",2480,"4,293,608"
Christopher Jackson,4286251,"43,947",2493,"4,286,251"
Rush,4285059,"5,048",2265,"4,285,059"
YBN Nahmir,4281434,"-3,328",1995,"4,684,202"
Jos̩ Luis Perales,4279952,"1,953",2291,"4,361,097"
Olamide,4279241,-415,2384,"4,301,258"
Shalmali Kholgade,4277053,"6,831",1926,"4,717,659"
La Receta,4276935,"-22,632",2405,"4,401,754"
Violet Days,4274633,"-37,993",2029,"4,974,853"
